text,label,notes
"gearing level 1-170 guide discussion",guide_analysis,"gear guide"
"W101 Level 1-30 guide discussion",guide_analysis,"leveling guide"
"A Wizard's Guide to Pets discussion",guide_analysis,"pet system guide"
"Lemuria 6 turn farming strategy explained",guide_analysis,"farming strategy"
"schools ranked by stats and solo efficiency",guide_analysis,"school ranking"
"PvE leveling and farming strategies used by top players",guide_analysis,"PvE walkthrough"
"fastest gold farming methods early game Wizard101",guide_analysis,"beginner guide"
"gear stats like pierce damage resist explained",guide_analysis,"advanced gear"
"best PvE spell setup for bosses",guide_analysis,"combat strategy"
"how turn order affects PvE battles",guide_analysis,"combat mechanics"
"questbook star system and main quest guide",guide_analysis,"quest optimization"
"Final Bastion quest tree explanation",guide_analysis,"quest progression"
"wiki usage for boss strategies in Wizard101",guide_analysis,"boss guide"
"best damage pet and gear setup explained",guide_analysis,"damage optimization"
"AoE spam strategy for PvE farming",guide_analysis,"deck building"
"how to optimize early game leveling route",guide_analysis,"leveling guide"
"advanced blade stacking strategy explained",guide_analysis,"combat guide"
"how resist and pierce interact in PvE",guide_analysis,"gear mechanics"
"best farming spots for mid game Wizard101",guide_analysis,"farming guide"
"spell deck optimization for solo play",guide_analysis,"deck building"
"how to beat cheating bosses efficiently",guide_analysis,"boss strategy"
"world progression guide from Wizard City onward",guide_analysis,"progression guide"
"best gold farming dungeons explained",guide_analysis,"economy guide"
"how critical rating works in Wizard101",guide_analysis,"mechanics guide"
"pet training optimization guide",guide_analysis,"pet guide"
"how to use feints effectively in boss fights",guide_analysis,"combat guide"
"best school synergy guide for team play",guide_analysis,"team strategy"
"how to build balanced PvE deck",guide_analysis,"deck guide"
"gear progression from arc 1 to arc 4 explained",guide_analysis,"gear guide"
"why AoE spells dominate PvE farming",guide_analysis,"combat meta"
"best storm wizard damage strategy guide",guide_analysis,"school guide"
"how to solo efficiently as ice wizard",guide_analysis,"solo guide"
"best life wizard support strategies",guide_analysis,"support guide"
"fire wizard burn strategy explained",guide_analysis,"combat guide"
"myth wizard minion strategy guide",guide_analysis,"combat guide"
"balance school utility explained",guide_analysis,"school guide"
"how shadow spells work in late game",guide_analysis,"mechanics guide"
"gear farming efficiency optimization",guide_analysis,"farming guide"
"how to avoid wasting energy in pets",guide_analysis,"pet guide"
